"","subject","arbitrary1","arbitrary2","meaningful1","meaningful2"
"1",1,0.454365079365079,0.517283850360024,0.365248226950355,0.606400702774748
"2",2,0.259969093924318,0.24,0.192039800995025,0.307929292929293
"3",3,0.290957183005455,0.256950909203749,0.252604408173359,0.295303684035845
"4",4,0.235677530017152,0.225203557896434,0.24512334399269,0.215757743920896
"5",5,0.35057021981054,0.372153515755175,0.353947746654317,0.368775988911398
"6",6,0.331349206349207,0.381269701758686,0.258431085043988,0.454187823063904
"7",7,0.256231003039514,0.223067359028743,0.226833128187094,0.252465233881163
"8",8,0.13044670846395,0.136160714285714,0.144935344827586,0.121672077922078
"9",10,0.483689421573737,0.499716392512762,0.359302873808976,0.624102940277523
"10",11,0.128981420039814,0.16198224852071,0.101398601398602,0.189565067161923
"11",12,0.214272752018873,0.228926353149955,0.222272553881365,0.220926551287463
"12",13,0.552064440413955,0.484657320872274,0.513511326860841,0.523210434425388
"13",14,0.276470588235294,0.271359181195246,0.272564581388111,0.27526518804243
"14",16,0.470443349753695,0.435396039603961,0.454648913167179,0.451190476190476
"15",17,0.198717948717949,0.162056571339272,0.191714150047483,0.169060370009738
"16",18,0.259879097192974,0.297148240674091,0.256839101422533,0.300188236444532
"17",19,0.334560439560439,0.275279955207167,0.268684210526316,0.34115618424129
"18",21,0.27065868263473,0.24248385794996,0.184745762711864,0.328396777872826
"19",22,0.274468085106383,0.301510039272084,0.289635559300611,0.286342565077855
"20",23,0.0164835164835165,0.0245481927710844,0.0125,0.0285317092546008
"21",24,0.174268982551191,0.126026272577997,0.128217333051266,0.172077922077922
"22",25,0.91801398295827,0.880808577043116,0.872192458273233,0.926630101728153
"23",26,0.795028448838728,0.766891891891891,0.785797386790764,0.776122953939855
"24",27,0.556761173609,0.579024390243903,0.455415019762846,0.680370544090056
"25",28,0.982226632984482,0.993006993006993,0.989939508344416,0.985294117647059
"26",29,0.385006115122105,0.413852376137513,0.254530507855316,0.544327983404302
"27",30,0.418647425014149,0.427758897385065,0.333128381701918,0.513277940697295
"28",35,0.171605484298982,0.13643753386969,0.114724150529777,0.193318867638896
"29",36,0.449742356578495,0.461909282700422,0.444761395376479,0.466890243902439
"30",37,0.172202895297946,0.152993348115299,0.174250697730858,0.150945545682388
"31",38,0.330602260853045,0.28451252385135,0.250708813416179,0.364405971288215
"32",40,0.212199417051251,0.21469421101774,0.207836032963911,0.219057595105081
"33",41,0.286540880503145,0.267241379310344,0.21378225981349,0.34
"34",42,0.393009890403635,0.379521658437511,0.356120185521275,0.416411363319872
"35",43,0.251460718515594,0.233976884686105,0.216267247639796,0.269170355561902
"36",44,0.40909090909091,0.447055702917772,0.350369630369631,0.505776981639051
"37",45,0.492808519982433,0.369946091644205,0.393034114732228,0.46972049689441
"38",48,0.328948096885813,0.309360996107984,0.2473978960826,0.390911196911197
"39",49,0.227040816326531,0.20258589511754,0.187483854301214,0.242142857142857
"40",50,0.525490344638172,0.497245764909696,0.308858419643453,0.713877689904416
"41",52,0.360860984334526,0.374356775300172,0.330259081948747,0.404958677685951
"42",53,0.280705009276437,0.35686077643909,0.353684807256236,0.283880978459291
"43",54,0.497826086956522,0.446031746031746,0.447826086956522,0.496031746031746
"44",56,0.579599534529112,0.547894715594849,0.366338912299915,0.761155337824046
"45",57,0.144208037825059,0.147777602024675,0.111590038314176,0.180395601535559
"46",59,0.761776166518694,0.763705921490353,0.561465778121177,0.96401630988787
"47",60,0.41084353204369,0.415788675812931,0.415363903066351,0.41126830479027
"48",61,0.116339426765967,0.115230295133503,0.0945674044265594,0.137002317472911
"49",62,0.358789129686963,0.381033930857875,0.236463223787167,0.503359836757669
"50",63,0.435448232323232,0.443843843843843,0.425347222222222,0.453944853944854
"51",64,0.808111448151893,0.826195826645265,0.69728088336784,0.937026391429318
"52",65,0.76302729528536,0.77676734152008,0.574242797340556,0.965551839464883
"53",67,0.239209865266043,0.167763157894737,0.165948275862069,0.241024747298711
"54",68,0.678858770891435,0.701643920595533,0.640992702949225,0.739509988537744
"55",69,0.400914634146341,0.331973827059065,0.329118497109826,0.40376996409558
"56",72,0.487837280090802,0.490260439087387,0.320608469297634,0.657489249880554
"57",73,0.867201426024955,0.853903162055335,0.851292335115864,0.869812252964427
"58",74,0.665939907550077,0.669584206848358,0.653400673400674,0.682123440997761
"59",75,0.22557042896258,0.183114154752811,0.171025778732546,0.237658804982845
"60",78,0.629736748908039,0.588057517337915,0.628486436329895,0.589307829916059
"61",80,0.309812543392734,0.322106690777576,0.305687707076714,0.326231527093596
"62",81,0.556794822992006,0.59375,0.56968896713615,0.580855855855856
